번호,외래어,원어,순화어
13180,TRF,Tritium Removal Facility(영),삼중 수소 제거 설비
13179,TRA,Technology Readiness Assessment(영),기술 성숙도 평가
13178,TR,Trade Repository(영),거래 정보 저장소
13177,TPR,Trade Policy Review(영),무역정책검토
13176,TPP,Trans-Pacific Partnership(영),"환태평양 경제 공동체 협정, 환태평양 경제 동반자 협정"
13175,TPA,Trade Promotion Authority(영),무역 촉진 권한(TPA)
13174,TOR,Terms Of Reference(영),협상 세칙
13173,TOC,Terminal Operating Company(영),부두 운영 회사
13172,TMS,Tele Monitoring System(영),"원격 감시 체계, 오염 물질 원격 감시 체계, 원격 감시 장비, 오염 물질 원격 감시 장비"
13171,TME,Tele- Metering Equipment(영),원격 측정 장치
13170,TM5,Trade Mark(영) 5,상표 5국 협의체
13169,TM/TC,Tele-Metering/ Tele-Control(영),농업용수 관리 자동화
13168,TLS,Top Level Specification(영),함정 건조 기술 설명서
13167,TLR,Top Level Requirement(영),함정 건조 기본 지침서
13166,TLD,Thermoluminescence Dosimeter(영),열형광선량계
13165,TIPS,Tech Incubator Program for Startup(영),"창업 보육 프로그램, 기술 창업 보육 프로그램"
13164,THC,Terminal Handling Charge(영),터미널 화물 처리비
13163,TFA,Trade Facilitation Agreement(영),무역원활화 협정
13162,TEMP,Test and Evaluation Master Plan(영),시험 평가 기본 계획서
13161,TDP,Technical Data Package(영),기술 자료 묶음
13160,TCS,Trilateral Cooperation Secretariat(영),3국 협력 사무국
13159,TBT,Technical barriers to trade(영),무역 기술 장벽
13158,T/S,transshipment(영),"환적, 옮겨싣기"
13157,"티오, T/O",table of organization(영),정원
13156,"티이, T/E",table of equipment(영),"① 정수(定數) ② 장비 편성표, 장비 인가표"
13155,"swell,스웰",swell(영),너울
13154,SS기,SS器/SS機 (Speed Sprayer(영)),"고속 살포기, 농약 고속 살포기"
13153,"에스에스엠, SSM",super supermarket(영),기업형 슈퍼마켓
13152,SSG,Special Safe Guards(영),특별 긴급 수입 제한 조치
13151,SP항체,Structural Protein(영) 抗體,구조단백질 항체(構造蛋白質 抗體)
13150,SPL,Software Product Line(영),소프트웨어 제품 라인
13149,SPC,Special Purpose Company(영),"자산 유동화 회사(SPC), 특수 목적 법인(SPC)"
13148,SOM,Senior Officials' Meeting(영),고위급 회의
13147,SOC 스톡,SOC(social overhead capital) stocks(영),사회 간접 자본 보유량
13146,SMP,System Marginal Price(영),계통 한계 가격(SMP)
13145,SIECA,"Secretaría de Integración Económica Centro Americana , Secretariat for Central American Economic Integration(영)",중미 경제 통합 사무국
13144,SI 기업,System Integration(영) 기업,시스템 통합(SI) 기업
13143,SGIS,Statistical Geospatial Information Service(영),통계 지리 정보 서비스(SGIS)
13142,SG,Steam Generator(영),증기 발생기
13141,SECA,Strategic Economic Cooperation Agreement(영),전략적 경제 협력 협정
13140,SE,System Engineering(영),시스템 공학
13139,SDR,Supply Deficiency Report(영),하자 보고서
13138,SDGs,Sustainable Development Goals(영),지속 가능 개발 목표
13137,SCM,Supply Chain Management(영),"공급망관리, 생산공급망관리"
13136,RWA,Risk Weighted Assets(영),위험 가중 자산
13135,RVC,Regional Value Contents(영),역내 부가 가치 기준
13134,RV,Recreational Vehicle(영),여가용 차량
13133,RTA,Regional Trade Agreement(영),지역 무역 협정
13132,"아르티, 알티, RT,",Radiographic Test(영),방사선 투과 검사
13131,RSD,Refugee Status Determination(영),"난민 인정, 난민 지위 인정"
13130,RRPA,Reciprocal Risk Participation Agreement (영),상호 위험 분담 협정
13129,RPS,Renewable energy Portfolio Standard(영),신·재생 에너지 공급 의무화 제도
13128,RPC,Rice Processing Complex(영),미곡 종합 처리장
13127,"아르엠에스, 알엠에스, RMS",records management system(영),기록 관리 시스템
13126,RIPC,Regional Intellectual Property Center(영),지역 지식재산센터
13125,RILO,Regional Intelligence Liaison Office(영),지역 정보 센터
13124,RIC,Regional Innovation Center(영),지역혁신센터
13123,RG,Refund Guarantee(영),선수금 환급 보증
13122,RFQ,Request for Quotation(영),견적 의뢰서
13121,"아르에프피, 알에프피, RFP",request for proposal(영),제안 요청서
13120,RFMO,Regional Fisheries Management Organization(영),지역 수산 관리 기구
13119,REC,Renewable EnergyCertificate(영),"신ㆍ재생 에너지 인증, 신ㆍ재생 에너지 인증서"
13118,RCM,Ready-made Contents(영),기성 콘텐츠
13117,RCEP,Regional Comprehensive Economic Partnership(영),역내 포괄적 경제 동반자 협정
13116,QHD화면,Quad – High Definition(영) 畵面,네 배 고화질 화면
13115,"PX, 피엑스",PX(영),"매점, 군매점"
13114,PTWI,Provisional Tolerable Weekly Intake(영),주간 섭취 허용량
13113,PTAB,Patent Trial and Appeal Board(영),미국 특허심판원
13112,PSA,Probabilistic Safety Assessment(영),확률론적 안전성 평가
13111,PRI,Principles for Responsible Investment(영),책임 투자 원칙
13110,pre-post care 센터,pre-post care center(영),해외 연계 병원
13109,"Pre-Feed, 프리피드",Pre-Feed(영),개념 설계
13108,"피아르, 피알, PR",public relation(영),홍보
13107,PPP,Public Private Partnership(영),민관협력
13106,Post-2020 신기후체제협상,Post-2020 New Climate Regime Negotiation(영),2020년 이후 신기후체제 협상
13105,POS,Point Of Sales(영),판매 시점 정보 관리 시스템
13104,POCT,Point of Care Testing(영),현장 즉시 검사
13103,PMS,Power Management System(영),전력 관리 체계
13102,PMP,Portable Multimedia Player(영),휴대용 멀티미디어 재생기
13101,PMO,Project Management Office(영),"프로젝트 관리 조직, 프로젝트 관리{부/과/팀…}"
13100,PMO,Project Management Officer(영),생산 현장 연락관
13099,PMI,Purchasing Managers Index(영),구매 관리자 지수
13098,PM,Personalized Medicine(영),맞춤 약물
13097,"피엠, PM",project manager(영),프로젝트 관리자
13096,PLM,Product Life cycle Management(영),제품 수명 주기 관리(PLM)
13095,PIMS,Personal Information Management System(영),개인 정보 관리 체계
13094,PIANC,Permanent International Association of Navigation Congresses(영),국제수상교통시설협회
13093,PI,Percentage Inhibition(영),"억제율, 항체 양성률"
13092,PHR,Personal Health Record(영),개인 건강 기록
13091,PG사,Payment Gateway(영) 社,전자 결제 대행사
13090,"PG, 피지",Press Guidance(영),언론 설명 자료
13089,PEMPAL,Public Expenditure Management Peer Assisted Learning Network(영),"재정 협력체, 유라시아 재정 협력체"
13088,PED,Porcine Epidemic Diarrhea(영),돼지 유행성 설사
13087,PECC,Pacific Economic Cooperation Conference(영),태평양 경제 협력 회의
13086,"PE, PEF",Private Equity Fund(영),사모펀드
13085,PCT,Patent Cooperation Treaty(영),특허 협력 조약
13084,PCRM,Public Customer Relationship Management(영),"정책 고객 관리, 정책 고객 관계 관리"
13083,PCR,Polymerase Chain Reaction(영),중합 효소 연쇄 반응
13082,"피비 상품, PB 상품",private brand(영) 商品,자체 상표 상품
13081,PAS 구동 방식,PAS(Pedal Assist System(영)) 驅動 方式,페달 보조 방식
13080,PAR,Passive Autocatalytic Recombiner(영),피동형 수소 제거 장치
13079,PAN,personal area network(영),개인 통신망
13078,PAFTAD,Pacific Trade and Development Conference(영),태평양 무역 개발 회의
13077,PACS,Picture Archiving Communication System(영),의료 영상 전송 시스템
13076,"P/O, 피오",P/O(영),현재 인원
13075,"P/L, 피엘",Profit and Loss(영),"손익 계산, 손익 계산서"
13074,P/L 신고,Paperless 申告(Declaration(영)),전자 신고
13073,"OTT, ott",Over The Top(영),인터넷 동영상 서비스
13072,"Open API, 오픈 API",Open Application Programing Interface(영),"공개 에이피아이(API), 공개 응용 프로그램 인터페이스"
13071,ODM,Original Development Manufacture(영),생산자 주도 방식
13070,"오디에이, ODA",official development assistance(영),"공적 개발 원조, 정부 개발 원조"
13069,OBE,Operating Basis Earthquake(영),"운전 가능 기준, 운전 가능 지진 기준"
13068,"오투오, O2O",online To offline(영),"온오프라인 연계, 온오프라인 연계 마케팅"
13067,"NUI, 엔유아이",Natural User Interface(영),동작 인식 인터페이스
13066,NTB,National Tech-Bank(영),기술은행
13065,NSP항체,Non-Structural Protein(영) 抗體,비구조단백질 항체(非構造蛋白質 抗體)
13064,"엔피오, NPO",non-profit organization(영),비영리 단체
13063,NPE,Non-Practising Entity(영),특허 관리 전문 회사
13062,Non-Traditional Mark,Non-Traditional Mark(영),비전형 상표
13061,"엔지오, NGO",non-governmental organization(영),"비정부 조직, 시민 단체"
13060,"엔에프시 기술, NFC 기술",near field communication(영) 技術,근거리 무선 통신 기술
13059,NDMS,National Disaster Management System(영),국가 재난 관리 시스템
13058,NDA,National Designated Authorities(영),협력 주관 기관
13057,NCP,National Contact Point(영),정보 연락관
13056,NC 장치,Numerical Control(영),수치 제어 장치
13055,MVP,Minimum Viable Product(영),최소 기능 제품
13054,MSP,Multiple System Operator & Program Provider(영),"복수 종합 유선 방송 채널 사업자, 복수 종합 유선 방송 채널 사용 사업자"
13053,MSO,Multiple System Operator(영),복수 종합유선방송사업자
13052,MRO,Maintenance Repair Operation(영),"소모성 자재, 기업 소모성 자재"
13051,MRO,"Maintenance, Repair, Overhaul(영)",항공 정비 산업
13050,MRG,Minimum Revenue Guarantee(영),"최소 수입 보장, 최소 수입 보장제"
13049,MPP,Multiple Program Provider(영),"복수 채널 사업자, 복수 방송 채널 사용 사업자"
13048,"엠오유, MOU",memorandum of understanding(영),"업무 협정, 업무 협약, 양해 각서"
13047,MOA,Memorandumof Agreement(영),합의 각서
13046,MMS,Multi-Mode Service,"다채널 방송, 다채널 방송 서비스"
13045,MFN,Most-Favoured Nation Treatment(영),최혜국대우
13044,MES,Manufacturing Execution System Shop Floor(영),통합 생산 관리 시스템
13043,MDSS,Micro Data Service System(영),마이크로 데이터 서비스 시스템(MDSS)
13042,MDBs,Multilateral Development Banks(영),"5대 국제 개발 은행, 세계 5대 국제 개발 은행"
13041,MCR,Main Control Room(영),주제어실
13040,MCN,Multi Channel Network(영),다중 채널 네트워크
13039,MBR,Membrane Bio Reactor(영),분리막 생물 반응기
13038,"Main-Biz, 메인비즈",Management Innovation+business(영),경영 혁신형 중소기업
13037,M2M,Machine-to-Machine(영),"사물 통신, 사물 지능 통신"
13036,M.I.,Ministry Identity(영),"부처 마크, 기관 마크"
13035,M&S,Modeling & Simulation(영),모형화 및 모의실험
13034,LOR,Letter of Request(영),구매 요청서
13033,LOA,Letter of Offer and Acceptance(영),청약 및 수락서
13032,LMO,Living Modified Organism(영),유전자 변형 생물체
13031,"LLC, 엘엘시",Limited Liability Company(영),유한 책임 회사
13030,LEU,Lowenriched Uranium(영),저농축 우라늄
13029,LEI,Legal Entity Identifier(영),법인 식별 기호
13028,LD50,lethal dose for 50% kill(영),반수 치사량
13027,KSSC,Korean Standard Statistical Classification(영),통계 분류 포털
13026,KSP 사업,Knowledge Sharing Program(영),경제 발전 경험 공유 사업
13025,KOSIS,Korean Statistical Information Service(영),국가 통계 포털(KOSIS)
13024,KOSBIR,Korea Small Business Innovation Research(영),중소기업 기술 혁신 지원 제도
13023,IX,Internet eXchange(영),인터넷 연동
13022,IUU 어업,"illegal, unreported, unregulated(영) 漁業",불법 어업
13021,ITO 필름,Indium-Tin Oxide film(영),인듐-주석 산화물(ITO) 필름
13020,"ITA, 아이티에이",Information Technology Agreement(영),정보 기술 협정(ITA)
13019,"아이티, IT",information technology(영),정보 기술
13018,ISP,Information Strategy Planning(영),정보화 전략 계획
13017,ISD,Investor-State Dispute(영),"투자자-국가 소송, 투자자-국가 소송 제도"
13016,"ISA, 아이에스에이",Individual Savings Account(영),개인 종합 자산 관리 계좌
13015,IRRS,Integrated Regulatory Review Service(영),통합규제검토서비스
13014,IRP,Indivisual Retirement Pension(영),"개인형 퇴직 연금, 개인형 퇴직 연금 제도"
13013,"아이아르, 아이알, IR",investor relations(영),기업 설명회
13012,IP-서비스,Intellectual Property Service(영),지식재산 서비스
13011,IPR,Inter Partes Reviews(영),특허 무효 심판
13010,IPP,Independent Power Plant(영),민자발전사업
13009,IPO,Initial Public Offering(영),"기업 공개, 주식 공개, 주식 공개 상장"
13008,IP-NAVI,IP-NAVIGATION(영),국제 지재권 분쟁 정보 포털
13007,IP-HUB,Intellectual Property-HUB(영),"지식재산 중심, 지식재산 중심지"
13006,IP-DESK,Intellectual Property-DESK(영),해외 지식 재산 센터
13005,IPC거더,IPC Girder(영),"상부 받침대, 상부 구조물"
13004,IPC,International Patent Classification(영),국제 특허 분류
13003,IP R&D,Intellectual Property Research & Development(영),지식 재산 연계 연구 개발
13002,"아이피, IP",intellectual property(영),지식 재산
13001,"아이오티, IoT",internet of things(영),사물 인터넷
13000,INDC,Intended Nationally Determined Contributions(영),국가별 기여 방안
12999,INCB,International Narcotics Control Board(영),국제 마약 통제 위원회
12998,"IEU, IIU, IRM","Independent Evaluation Unit, Independent Integrity Unit, Independent Redress Mechanism(영)","성과평가부(IEU), 비리조사부(IIU), 시정조치부(IRM)"
12997,"아이시티, ICT",information and communication technology(영),"정보 통신 기술, 정보 문화 기술"
12996,ICT,Information & Culture Technology(영),정보문화기술
12995,IBS,Intelligent Building System(영),지능형 빌딩 시스템
12994,"IALA, 아이에이엘에이",International Association of Marine Aids to Navigation and Lighthouse Authorities(영),국제항로표지협회
12993,HWR,Heavy Water Reactor(영),중수로
12992,HS code,Harmonized System Code(영),"관세율표 번호, 세번"
12991,HRM,Human Resources Management(영),인사 관리
12990,"에이치아르디, 에이치알디, HRD",human resource development(영),인적 자원 개발
12989,HR,Human Resources(영),인사
12988,HNS,Hazardous & Noxious Substances(영),유해 화학 물질
12987,"HMD, 에이치엠디",Head Mounted Display(영),머리 착용형 디스플레이
12986,HDTV,High Definition Television(영),고화질 텔레비전
12985,HCTRS,High Capacity Trunk Radio System(영),대용량 무선 전송
12984,"해썹, HACCP",hazard analysis critical control point(영),식품 안전 관리 인증 기준
12983,GVC,Global Value Chain(영),글로벌 가치 사슬
12982,GTX,Great Train EXpress(영),수도권 광역 급행 철도
12981,GTL,Gas To Liquid(영),가스 액화(GTL)
12980,GTI,Greater Tumen Initiative(영),광역 두만강 개발 계획
12979,GSP,Good Supplying Practice(영),"유통 관리 기준, 의약품 유통 관리 기준"
12978,G-PASS,Government Performance ASSured(영),해외 조달 시장 진출 유망 중소기업
12977,GMP,Good Manufacturing Practice(영),의약품 제조 관리 기준
12976,"유전자 조작, 유전자 재조합, GMO","遺傳子造作, 遺傳子再組合, genetically modified organism(영)","유전자 변형, 유전자 변형 식품"
12975,GMDSS,Global Maritime Distress and Safety System(영),해상 조난 안전 시스템
12974,GMD,Global Market Developer(영),세계 시장 개척자
12973,GLP,Good Laboratory Practice(영),비임상 시험 관리 기준
12972,GII,Government Innovation Index(영),정부 혁신 지수
12971,GHP,Good Hygiene Practices(영),"위생 관리 기준, 식품 위생 관리 기준"
12970,GG트레이드,government to government trade(영),정부 간 무역
12969,GCP,Good Clinical Practice(영),임상 시험 관리 기준
12968,"GATT, 가트",General Agreement on Tariffs and Trade(영),관세 및 무역에 관한 일반협정
12967,GAP,Good Agriculture Practices(영),우수 농산물 관리 제도
12966,"지투지, G2G",government-to-government(영),정부 간 거래
12965,"FTZ, 에프티제트",Free Trade Zone(영),자유 무역 지역
12964,FTX,Field Trainning Exercise(영),모의훈련
12963,FTTH,Fiber To The Home(영),광가입자망
12962,FTA 패스,Free Trade Agreement -PASS(영),원산지 관리 시스템
12961,FSB,Financial Stability Board(영),금융안정위원회
12960,FPC,Fisheries Products Processing & Marketing Center(영),수산물 산지 유통 센터
12959,FOCAC,Forum on China-Africa Cooperation(영),중국-아프리카 협력 포럼
12958,FMC,Fishery Monitoring Center(영),조업 감시 센터
12957,FIT,Foreign Independent Tour(영),"개별 자유 여행, 외국인 개별 자유 여행, 개별 관광객, 외국인 개별 관광객"
12956,FDS,Fraud Detection System(영),이상 거래 탐지 시스템
12955,FAD,Fish Aggregating Device(영),물고기 유인 장치
12954,"e-seal,이실",Electronic Seal(영),전자 봉인
12953,ESCO,Energy Saving Company(영),에너지 절약 전문 기업
12952,ERP PASS,Enterprise Resource Program -Post Audit Supporting System(영),대용량 회계 자료 분석 시스템
12951,ERP,Enterprise Resource Planning(영),전사적 자원 관리
12950,"e-navigation, 이내비게이션",e-navigation(영),"차세대 해양 관리 체계, 차세대 해양 안전 종합 관리 체계"
12949,"이엠에스, EMS",emergency medical service(영),응급 의료 서비스
12948,EHP,Electric Heat Pump(영),전기식 냉난방기
12947,EFS,Electronic Filing Service(영),전자 문서 서비스
12946,"EE, 이이",Energy Efficiency(영),에너지 효율
12945,EDR,Event Data Recorder(영),사고 기록 장치
12944,EDG,Emergency Diesel Generator(영),비상 디젤 발전기
12943,EDCF,Economic Development Cooperation Fund(영),대외 경제 협력 기금
12942,EAP,Emergency Action Plan(영),비상 대처 계획
12941,EAG,Early Adopters Group(영),조기 적용 그룹
12940,EAEU,Eurasian Economic Union(영),유라시아 경제연합
12939,DUS test,DUS test(영),신품종 재배시험
12938,DUR,Drug Utilization Review(영),의약품 안심 서비스
12937,DSR,Digital Satellite Radio(영),디지털 위성방송
12936,DSC,Drying Storage Center(영),건조 저장 시설
12935,DSB,Dispute Settlement Body(영),분쟁 해결 기구(DSB)
12934,DRM,Digital Right Management(영),"디지털 권리 관리, 디지털 콘텐츠 권리 관리, 디지털 저작권 관리"
12933,DO,Defined Order case(영),지정 구매
12932,DNA 프로필 데이터베이스,DNA profile database(영),디엔에이(DNA) 정보 자료 뭉치
12931,DMF,Drug Master File(영),원료 의약품 등록 제도
12930,DMAT,Disaster Medical Assistance Team (영),재난 의료 지원팀
12929,DI,Duplication Information(영),중복 가입 정보
12928,DEA,Drug Enforcement Agency(영),미국 마약 단속청
12927,"DDoS, 디도스",Distributed Denial of Service(영),분산 서비스 거부 공격
12926,CY,Container Yard(영),컨테이너 야적장
12925,CVO,Chief Veterinary Officer(영),수석수의관
12924,CVE,Counter Violent Extremism(영),폭력적 극단주의 대응
12923,CVD,"Chemical Vapor Deposition(영), 化學蒸着法",화학 증착법
12922,CV,Containment Vessel(영),격납 용기
12921,CV,Curriculum Vitae(영),영문 이력서
12920,CTH,Change of Tariff Heading(영),세번 변경 기준
12919,CSR,Corporate Social Responsibility(영),기업의 사회적 책임
12918,CSP,Collaborative Search Pilot Program(영),협력 심사 프로그램
12917,CSI,Crime Scene Investigation(영),과학 수사
12916,"시에스, CS",customer satisfaction(영),고객 만족
12915,CR,Control Rod(영),제어봉
12914,CPTED,Crime Prevention Through Environmental Design(영),범죄 예방 설계 기법
12913,CPPG,Certified Privacy Protection General(영),개인정보관리사
12912,CPOE,Computerized Physician Order Entry System(영),"처방 전달 시스템, 처방 자동 전달 시스템"
12911,CPO,Chief Privacy Officer(영),개인 정보 보호 책임자
12910,CPI,Corruption Perceptions Index(영),부패 인식 지수
12909,CPC,Cooperative Patent Classification(영),선진 특허 분류
12908,COW,Cell On Wheels(영),차량 탑재 기지국
12907,COB,Courier on Board(영),"① 탑승 운송, 탑승 운송 서비스 ② 인편 특송, 인편 특송 서비스"
12906,CNG,Compressed Natural Gas(영),압축 천연가스(CNG)
12905,CMO,Contract Manufacturing Organization(영),위탁 생산 조직
12904,CMIM-PL,CMIM(Chiang Mai Initiative Multilateralization) - Precautionary Line(영),위기 예방 긴급 유동성 지원 제도
12903,CLIS,Client-oriented Logistics Information System(영),통합 물류 정보 시스템
12902,C-ITS,COOPERATIVE INTELLIGENT TRANSPORT SYSTEMS(영),차세대 지능형 교통시스템
12901,CITES 대상식물,CITES 對象植物/Convention on International Trade in Endangered Species of Wild Fauna and Flora(영),야생 동식물 국제 거래에 관한 협약 대상 식물
12900,CIQ Area,Customs Immigration Quarantine Area(영),출입국 수속 구역
12899,CIPO,Chief Intellectual Property Officer(영),지식재산 최고 책임자
12898,CI,Connecting Information(영),연계 정보
12897,CFS,Container Freight Station(영),"컨테이너 화물 처리장, 컨테이너 소량 화물 처리장"
12896,CFRP,Carbon Fiber Reinforced Plastics(영),탄소 섬유 강화 플라스틱
12895,CFMs,Capital Flow Management Measures(영),자본관리조치
12894,CEPA,Comprehensive Economic Partnership Agreement(영),포괄적 경제 동반자 협정(CEPA)
12893,CEN,Customs Enforcement Network(영),세관 감시망
12892,CDW,Customs Data Warehouse(영),"통합 정보 시스템, 관세청 통합 정보 시스템"
12891,CDP,Career Development Program(영),경력 개발 제도
12890,CDM,Clean Development Mechanism(영),청정 개발 체제
12889,CCS,Carbon Capture & Storage(영),"이산화 탄소 포집(捕執) 저장, 탄소 포집 저장"
12888,CCF-K,Customs Cooperation Fund -Korea(영),세관 협력 기금
12887,CANDU,Canadian Deuterium Uranium Reactor(영),캐나다형 중수로
12886,C/S,Cargo Selectivity(영),의심 화물 선별
12885,"비티엘, BTL",build transfer lease(영),임대형 민자 사업
12884,BSL,Biosafety Level(영),생물 안전 등급
12883,"비아르티, 비알티, BRT",bus rapid transit(영),"간선 급행 버스, 간선 급행 버스 체계"
12882,BPI,Bribe Payers Index(영),뇌물 공여 지수
12881,BOM,Bill of Material(영),"부품 구성표, 부품 명세서"
12880,BOD,Broadcasting On Demand(영),주문형 방송
12879,BM특허,Business Method(영) 特許,영업 방법 특허
12878,"비엠아이, BMI, 비엠 지수, BM 지수","body mass index(영), BM(영) 指數",체질량 지수
12877,BL3,Biosafety Level 3(영),생물 안전 3등급
12876,BIS,Bus Information System(영),버스 정보 시스템
12875,"바이오스, BIOS",basic input/ output system(영),기본 입출력 체계
12874,BEPS,Base Erosion & Profit Shifting(영),세원 잠식 및 소득 이전
12873,BEMS,Minimum Viable Product System(영),건물 에너지 관리 시스템
12872,BcN,Broadband Convergence Network(영),광대역 통합망
12871,BAU,Business As Usual(영),"배출 전망치, 온실가스 배출 전망치"
12870,ARM,Area Radiation Monitoring(영),지역 방사선 감시
12869,APTA,Asia Pacific Trade Agreement(영),"아시아 태평양 무역 협정, 아태 무역 협정"
12868,APT,Advanced Persistent Threat(영),지능형 지속 위협
12867,APA,Ad Hoc Working Group on the Paris Agreement(영),파리 협정 특별 작업반
12866,AMR,Antimicrobial Resistance(영),항생제 내성
12865,AMP,Advanced Management Program(영),최고 경영자 과정
12864,AMI,Advanced Metering Infrastructure(영),지능형 계량기
12863,AM,Account Manager(영),기업 상담 전문관
12862,AIA,America Invent Act(영),미국 개정 발명법
12861,AHP,Analytic Hierarchy Process(영),계층 분석법
12860,AGC,Automatic Generation Control(영),자동 발전 제어(AGC)
12859,AFDF,Africa Development Fund(영),아프리카 개발 기금
12858,AEO,Authorized Economic Operator(영),종합 인증 우수 업체
12857,ADI,Acceptable Daily Intake(영),하루 섭취 허용량
12856,ACTD,Advanced Concept Technology Demonstration(영),신개념 기술 시범
12855,"3D 매핑, 스리디 매핑",Three Dimension mapping(영),"입체 투사 기법, 입체 투사 영상 기법, 입체 투사법"
12854,벨트,belt(영),"지대, 구역, 지역"
12853,밸리,valley(영),"지구, -지(地), -골"
12852,(…) 메가시티,(…) mega city(영),(…) 특화 도시
12851,(···)풀,pool(영),"(∙∙∙) 후보군, (∙∙∙)군, (∙∙∙) 명단"
12850,자,者,사람
12849,"~함을 요한다, 요하다","-- 要 --, 要--","~하기 바랍니다, ~하시기 바랍니다"
12848,(...)할 것,(...)- -,"(...)기 바람, (...)하시기 바랍니다"
12847,"워라밸, WLB",work life balance(영),"일과 삶의 균형, 일삶균형"
12846,"아이피-포인트, IP-포인트",Intellectual Property point(영),지식 재산 제공 점수
12845,"V-PASS, 브이패스",VESSEL-PASS(영),어선 위치 발신 장치
12844,"VMS, 선박모니터링 시스템",船舶 Monitoring System / Vessel Monitoring System(영),"선박 추적 장치, 선박 추적 시스템"
12843,"벤처 캐피털, VC",venture capital(영),벤처 기업 자본
12842,"유 시티, U-city",ubiquitous city(영),첨단 정보화 도시
12841,"무크, MOOC",massive open online course(영),"온라인 공개 강좌, 온라인 공개 수업"
12840,"Inno-Biz, 이노비즈",innovation business(영),혁신형 중소기업
12839,타운하우스,town house,공동전원주택
12838,힛카케,引掛け(일),걸어치기
12837,힛가케카기,引-っ-掛-け-鉤(일),낫표
12836,힙후프 농구,(←hiphop+hoop) 籠球,길거리 농구
12835,힐책,詰責,꾸짖음
12834,힐드프레임,heald frame(영),잉아틀
12833,힐드바,heald bar(영),잉앗대
12832,힐드,heald(영),잉아
12831,힐,heel(영),"뒤꿈치, 채 뒤꿈치"
12830,히피룩,hippie look(영),히피 차림
12829,히팅 시스템,hitting system(영),강공
12828,히트하다,hit(영)--,"적중하다, 들어맞다"
12827,"히트02, 히트세이프","hit, hit safe(영)",안타
12826,히트 앤드 런,hit and run(영),치고 달리기
12825,히트 앤드 러시,hit and rush(영),치고 달려들기
12824,히트 상품,hit(영) 商品,"인기 상품, 인기 몰이 상품"
12823,히트 메이커,hit maker(영),"인기 제조기, 성공 제조기"
12822,히터선,heater(영) 線,열선(熱線)
12821,히키코모리,引き籠もり(일),폐쇄은둔족
12820,히키사게,ひきさげ(일),내리다
12819,히크,ひく(일),끌어들이다
12818,히자이타,膝板,무릎판
12817,히야카시,"冷, ひやかし(일)",희롱
12816,히야무기,冷麥,냉국수
12815,히사시,"廂, 庇, ひさし(일)",차양(遮陽)
12814,히모,紐,끈
12813,히로익 트래지디,heroic tragedy(영),영웅 비극
12812,히든카드,hidden card(영),"숨긴 패, 비책"
12811,히든 레이어,HiddenLayer(영),은닉층(隱匿層)
12810,히니쿠,ひにく(일),"흉보기, 비웃기, 비아냥"
12809,"히구치, 히구치시끼찌",火口(일),"불부리, 불대"
12808,흡즙성,吸汁性,"즙빨성, 즙을 빨아 먹는"
12807,흙매기,,흙막이
12806,흙구곡막이,-溝谷-,흙골막이
12805,흙골매기,,흙골막이
12804,흑호마,黑胡麻,검정깨
12803,흑탄,黑炭,검은숯
12802,흑성병,黑星病,"검은별무늬병, 검은별무늿병"
12801,흑반병,黑斑病,"검은무늬병, 검은별무늿병"
12800,흑두병,黑痘病,"새눈무늿병, 새눈무늬병"
12799,흉추,胸椎,"가슴등뼈, 흉추"
12798,흉장,胸章,가슴표
12797,흉선 임파 특이 체질,胸腺 淋巴 特異 體質,가슴샘 림프 특이 체질
12796,흉곽 동요,胸廓 動搖,동요 가슴
12795,흉강 삽관술,胸腔 揷管術,"흉강 개구술, 가슴창 냄술"
12794,휴한,休閑,묵히기
12793,휴차료,休車料,"운행 못한 손실 비용, 차 운행 못한 손실 비용"
12792,휴지하다,休止--,"쉬다, 머물다, 그만두다"
12791,휴즈,ヒユ-ズ(일)←fuse(영),퓨즈
12790,휴면지삽목,休眠枝揷木,휴면가지 꺾꽂이
12789,휴면아,休眠芽,잠자는눈
12788,휴면기,休眠期,잠잘 때
12787,휴먼 드라마,human drama(영),인간 드라마
12786,휴머니티,humanity(영),"인성, 인간성, 인간애"
12785,휴머니즘,humanism(영),인본주의
12784,"휴머노이드, 휴머노이드 로봇","humanoid, humanoid robot(영)",인간형 로봇
12783,휴립직파,畦立直播,이랑 곧뿌리기
12782,휴립,畦立,이랑 만들기
12781,휠페이퍼,wheel paper(영),"돌개 사포, 속새"
12780,휠브러시,wheel brush(영),돌개솔
12779,휘핑하다,whipping(영)--,젓다
12778,휘핑,whipping(영),거품크림
12777,휘슬,whistle(영),"호루라기, 호각"
12776,훤주공,萱株工,"새심기, 새풀심기"
12775,훤복공,萱覆工,"새덮기, 새풀덮기"
12774,훤망공,萱網工,"새망덮기, 새풀망덮기"
12773,훗구,フック(일)←hook(영),"고리, 갈고리"
12772,훗고,覆工,"안쪽바르기, 라이닝(lining)"
12771,훈연소독,薰煙消毒,연기찜 소독
12770,훅 패스,hook pass(영),"머리 너머 주기, 머리 너머건네 주기"
12769,훅 패스,hook pass(영),"휘어 주다, 휘어 건네 주다."
12768,훅 슛,hook shoot (영),"휘어 쏘기, 휘어 넣기"
12767,훅 그립,hook grip(영),강한 쥐기
12766,후토시로비시,太白菱,겹마름모
12765,후토산가쿠,太三角,고딕세모
